tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
6 meses atrás,4,"O Jerky's é referência em SP em culinária internacional, com seu exclusivo frango jerk.  O frango é marinado num blend de temperos secos e molhados, defumado 24hs e finalizado na grelha com molho.  A porção individual é muito bem servida: 1/4 de frango (coxa e sobrecoxa) com 1 acompanhamento.  Antigamente o frango era servido com osso e era super picante🌶️. Hoje ele é desossado e o sabor e picância parece mais um teriyaki.  O dono, Andre James, já apareceu em vários programas de TV.  Não recomendo ir à noite, pela falta de segurança do bairro.  A forma mais acessível e prática de chegar é de metrô.",True,73,0,255,9,0,571,14,0,0,0,6,9,0
6 meses atrás,5,,True,112,519,2367,96,0,1066,0,0,0,0,0,0,0
6 meses atrás,5,"Esta tranquilamente no meu top 3 de restaurantes em São Paulo. Comida excelente, ótimo atendimento e ambiente muito agradável.",False,5,0,1,0,0,11,0,0,1,0,0,0,0
6 meses atrás,5,"Tooooooop demais, conheci O James, um cara muuuuito gente fina, irei mais vezes, valeu Doctor e tmj meu irmão",True,80,1,118,0,0,15,35,0,0,0,69,5,0
7 meses atrás,4,"Atendimento bom ,fácil acesso",True,259,2,49,1,0,3321,0,0,0,0,168,29,0
8 meses atrás,5,,False,5,3,0,0,0,16,0,0,0,0,1,0,1
8 meses atrás,5,,False,3,5,1,0,0,1,2,0,1,0,0,0,0
8 meses atrás,5,Um dos melhores restaurantes de são paulo!!!,False,4,3,4,0,1,41,0,0,0,0,1,0,1
9 meses atrás,1,,False,13,5,0,0,0,22,0,0,0,0,0,0,0
9 meses atrás,5,"Phenomenal food, you can’t get these flavors anywhere else in Brazil!",False,11,2,10,1,0,26,0,0,0,0,0,0,0
9 meses atrás,5,"Eu e minha mãe descobrimos o restaurante pela reportagem do bom dia SP e mesmo com expectativas altas, fomos positivamente surpreendidos. Atendimento rápido e gentil e comida melhor ainda. Pedimos o ½ jerk chicken com arroz caribenho, saladinha de repolho e banana da terra. O frango estava extremamente saboroso, temperado no ponto certo e harmonizava perfeitamente com os acompanhamentos. Voltarei lá com certeza.",False,2,5,0,0,0,28,0,0,0,0,1,0,0
9 meses atrás,4,"Se você nunca experimentou comida caribenha, esse é o lugar. Comi um frango na grelha. Parece algo simples, mas od tempero é bem diferente e bem gostoso, um picante meio adocicado. Não curti tanto assim os acompanhamentos, eles são meio sem graça comparados com o frango. O atendimento é uma simpatia e o clima do lugar é bem gostoso.",True,215,0,66,0,0,1355,0,0,0,0,0,0,0
9 meses atrás,5,,False,3,1,0,0,0,6,0,0,0,0,0,0,1
9 meses atrás,5,Very Good Food and also a very kind Owner,False,1,0,1,0,0,3,0,0,0,0,0,0,1
9 meses atrás,5,,True,15,49,5,4,0,282,0,0,0,0,0,0,0
10 meses atrás,5,"A galinha ""jerk"" estava muito boa, assim como o arroz caribenho e a salada. Muito refrescante poder contar com o sabor jamaicano em São Paulo! Deu um gosto de quero mais!",False,5,0,0,0,0,30,0,0,0,0,0,0,1
10 meses atrás,5,"Comida bem servida e muito saborosa! Um tempero diferente que nunca tinha provado, impressionante, uma explosão de sabor! O cardápio é enxuto, mas tem opção vegetariana (abobrinha e berinjela!), infelizmente quando fui só tinha abobrinha, preciso voltar pra provar a berinjela. A porção de 1/4 de frango serve muito bem uma pessoa, acredito que a 1/2 sirva bem 3 pessoas. O espaço é pequeno, mas aconchegante, o serviço também foi ótimo.",True,173,15,364,9,0,646,4,0,1,0,0,0,0
11 meses atrás,5,"O frango é realmente muito bem temperado e a banana da terra merece destaque! Fora isso, o ambiente é super descolado e atendimento nota 10!",True,39,9,28,0,0,148,0,0,0,0,0,0,0
11 meses atrás,3,Atendimento horrível. Atendente grossa. Frango mal assado nas últimas duas vezes em que jantei.,True,10,27,8,0,0,88,0,0,0,0,0,0,0
11 meses atrás,3,,True,9,3,0,0,0,29,0,0,0,0,0,0,1
um ano atrás,4,"Estávamos em 2 pessoas e pedimos o 1/2 de jerk Chicken + 3 acompanhamentos, que foram arroz caribenho, salada de macarrão, banana da terra e saladinha (esse último foi à parte). Não vendem refrigerante, então pedimos a limonada. Gostei muito da banana da terra e o arroz caribenho (arroz com feijão)! A região é bem movimentada, perto do estação de metro República, por isso a redondeza é meio perigosa. O ambiente do restaurante é agradável, e a decoração simples mas linda. Valeu a pena para provar uma culinária diferente, mas acho que não voltaria. Gastamos em torno de R$138.",True,16,2,12,0,0,48,0,0,0,0,0,0,0
um ano atrás,5,"Vimos uma indicação pelo Instagram e valeu muito. Comida simples,mas uma delícia, atendimento, ambiente,sensacionais. Com certeza voltaremos novamente e indicaremos.",True,19,2,0,0,0,46,0,0,0,0,0,0,0
um ano atrás,5,Tempero doce bem diferente e gostoso. Atendimento impecável.,True,24,10,22,1,0,52,5,0,0,0,0,0,0
um ano atrás,4,"Este estava na minha lista de Lugares para Comer há algum tempo e finalmente fui almoçar com uma amiga. Está praticamente dentro do metrô, muito próximo e fácil de chegar. A decoração é uma graça! Todo colorido traz um ar alegre, combina com o sorriso dos atendentes. A comida é impecável, o frango tem um tempero muito condimentado e diferente. Pedimos 1/2 porção de frango jerkys com arroz caribenho, banana da terra frita e batata jerk que tem uma surpresa sabor canela!! Infelizmente no dia da nossa visita não tinha nenhuma sobremesa disponível na casa 😕 fiquei curiosa com o pudim de batata doce. Tivemos um mal entendido na chegada: demoramos muito para ser atendidas por uma falha de comunicação entre os atendentes, mas tirando isso, a experiência foi muito satisfatória e eu adoraria voltar!",True,105,36,174,7,0,1893,3,0,0,0,1,5,0
um ano atrás,5,,False,0,13,0,0,0,67,0,0,0,0,0,0,1
um ano atrás,5,"Lovely restaurant, with the best jerk chicken I’ve ever had. The owner is wonderful, and all of the food/ drinks are even better",True,42,5,2,0,0,72,0,0,0,0,0,0,0
um ano atrás,5,"Comida de rua caribenha com gosto de quero mais. O tempero do frango parecia que era costela, desfiando, suculenta, deliciosa. Voltarei",True,181,58,190,7,0,548,3,0,3,0,0,1,0
um ano atrás,5,"Adoro o Jerky's, já visitei várias vezes. Da última vez em Out/23 adorei que o serviço estava bem mais organizado, atendimento ágil e comida chegou rápido (15min).  Tive a impressão que o frango tava menos apimentado que de costume, não sei se diminuíram a pimenta para encaixar no paladar brasileiro ou se foi só por acaso. Esqueci de perguntar 🤦🏾‍♀️ Mas confesso que gosto bem mais apimentado como das outras vezes que fui. 😋  De qualquer forma, comida maravilhosaa! Vida longa ao Jerky's ❤️🇯🇲",True,58,25,148,1,0,1276,4,0,2,0,16,9,0
um ano atrás,5,"Fui na unidade Express no Calçadão Urbanoide e achei a experiência incrível. Nunca tinha provado comida caribenha e achei o tempero delicioso. Nessa unidade a refeição é servida em bowl, muito bem servido. Optei pelo frango marinado, arroz branco com feijão vermelho, salada de repolho roxo e banana da terra; de bedida escolhi a limonada de morango com baunilha. A atendente que estava no dia (07.09) foi muito simpática e explicou o cardápio, auxiliando na escolha. Só achei que ela poderia ter um ajudante para ir tirando os pedidos enquanto ela prepara as porções, pois ela estava fazendo tudo, acarretando em uma espera maior.  Detalhe: nessa unidade não aceitam vale refeição.",True,107,1,233,5,0,574,0,0,2,0,0,2,0
um ano atrás,5,"Comida excelente! Pedimos o delivery e a comida chegou perfeita, bem quentinha, com uma boa embalagem e o sabor muito gostoso. Super atenciosos. Recomendamos com certeza!",True,27,0,10,0,0,59,0,0,0,0,0,0,0
um ano atrás,5,"Comida boa e muito bem temperada. Frango suculento. Quantidade suficiente para 2 pessoas, dependendo do apetite cabem 3.",True,9,10,14,0,0,100,0,0,0,0,0,0,0
um ano atrás,5,,True,11,40,31,0,0,218,0,0,0,0,0,5,0
um ano atrás,5,Comida saborosa,True,2298,1,2269,26,0,2137,33,0,11,0,8,23,0
um ano atrás,5,One of the best hidden gems in SP. Thank you,True,13,26,30,1,0,103,0,0,0,0,0,0,0
um ano atrás,5,"Uma das melhores refeições que eu já comi em SP. Tudo muito bem temperado, frango suculento, a limonada com morango é uma delícia, atendimento ótimo. Amei demais e pretendo voltar.",True,2,7,0,0,0,19,0,0,2,0,0,0,0
um ano atrás,4,"Um dos melhores frangos que eu já comi: tempero delicioso, num frango muito suculento. O 1/2 frango serve muito bem 3 pessoas, num preço justo. Os acompanhamentos tmb são gostosos. A limonada com baunilha lembra o gosto de Yakut, oq eu achei um pouco enjoativo.",False,5,0,0,0,0,29,3,0,0,0,0,0,0
um ano atrás,5,Conhecer outros sabores é nosso hobby e a comida jamaicana é muito boa.,True,83,36,126,0,0,92,0,0,0,0,0,4,0
um ano atrás,5,,False,4,2,0,0,0,10,2,0,1,0,0,2,1
um ano atrás,2,"Qual horário real do atendimento? Amamos o jerkys e fomos até o  food-truck na augusta. A atendente parecia estar fechando as pressas e foi mega desconfortável no atendimento. Essa moça do cabelo curtinho, já nos recebeu na República e a sensação dela não querer estar no ambiente afetou a todos.",True,12,21,0,0,0,130,0,0,0,0,0,1,0
um ano atrás,5,Comida muito boa,False,12,0,0,0,0,32,0,0,0,0,0,0,1
um ano atrás,5,"Comida maravilhosa, uma experiência incrível!!!",False,5,1,1,0,0,20,0,0,0,0,0,0,1
um ano atrás,5,Ótima comida! Ambiente popular como típico gosto diferente !,False,22,0,0,0,0,42,0,0,0,0,0,0,0
um ano atrás,5,,True,25,32,54,0,0,2160,2,0,0,0,7,0,0
um ano atrás,5,,True,45,50,48,3,0,284,0,0,0,0,0,0,0
