tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
90,5,comprei bolo sabor pão mel verdadeira obra arte todos ficaram encantados decoração bolo ê bonito abrir grata surpresa além bonito gostoso bem recheado úmido ponto certo pude perceber utilizados ingredientes qualidade capricho confeiteira bia certeza comprarei vezes indicarei sempre possível,,1,0,0,0,0,5,0,0,0,0,0,0,1
365,5,ótimo atendimento belos delicioso produtos confeitaria brasileira nunca provado doces bolo tão gostosos super recomendo,,3,4,1,0,0,12,0,0,0,0,1,0,1
365,5,ótimo atendimento doces deliciosos comi bom super recomendo,,2,0,0,0,0,14,0,0,0,0,1,0,1
365,5,doces lindos caprichados deliciosos excelente qualidade,,28,1,0,0,0,68,0,0,0,0,0,0,0
365,5,melhores doces brigadeiros,,37,33,4,0,1,49,9,0,0,0,0,0,0
365,5,null,,1,1,0,0,0,1,0,0,0,0,1,0,1
