tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
120,5,fiz encomenda bolo personalizado tudo perfeito atendimento entrega nota mil,,4,0,0,0,0,3,0,0,0,0,0,0,1
120,5,null,,2,2,0,0,0,1,0,0,0,0,1,0,1
120,5,cesta cafe boa atendimento bom tbm entregue prazo,,42,11,1,0,0,36,1,0,0,0,1,0,0
120,5,atendimento ótimo maiara solicita entrega rápida comida sempre boa,,4,0,0,0,0,8,0,0,0,0,0,0,0
120,3,brunch week ambiente aconchegante opção brunch ok bom havia nada excepcional,,73,61,366,2,0,96,0,0,0,0,0,1,0
120,5,conhecer local durante brunch weekend adorei opções oferecidas tudo quantidade variedade adequada vi cardápio bolos encomenda aproveitei aniversário pedir devils cake todo chocolate meio amargo amei amigos elogiaram bolo acabou minutos haha recomendo excelente qualidade serviço atencioso,,19,9,25,0,0,267,0,0,0,0,0,0,0
150,5,null,,0,2,0,0,0,3,0,0,0,0,0,0,1
150,5,pedi cesta café manhã veio quentinha produtos feitos hora capricho recomendo,,2,3,0,0,0,11,0,0,0,0,0,0,1
150,5,null,,1,1,0,0,0,4,0,0,0,0,0,0,1
150,5,surpreendeu conhecer chez mom participando brunch weekend incrível comida excelente quantidade absurda muita qualidade serviço impecável ambiente ok vale conhecerem nota 10,,184,41,618,5,0,2539,2,0,1,0,46,3,0
150,5,sábado provar brunch comida deliciosa ingredientes frescos serviço bastante ambiente aconchegante recomendo visita,,10,74,8,0,0,53,0,0,0,0,0,0,0
150,5,null,,1,2,0,0,0,6,0,0,0,0,0,0,1
150,5,cuidadosos cordiais atenciosos pedido fiquei satisfeita encomendar cesta brunch aniversário pessoa recomendo,,4,0,0,0,0,6,0,0,0,0,0,0,1
150,5,null,,2,6,0,0,0,6,0,0,0,0,0,0,1
150,3,comida serviço atendimento valor justo,,20,4,16,0,0,157,0,0,0,0,0,0,0
150,5,bem atendidos letícia,,15,27,0,0,0,285,0,0,0,0,0,0,0
150,5,null,,1,2,0,0,0,9,0,0,0,0,0,0,1
150,4,brunch bem servido bom atendimento simpático pouco confuso deixaram trocar item cardápio questões restrição alimentar deixaram trocar bebida alcoólica alcoólica deixaram claro motivo american brunch vem tomates assados vieram crus questionamos atendente informou apenas decorativos assados tirando confusões comida boa sobremesa incrível experimentem bolo red velvet,,26,25,12,1,1,282,2,0,0,0,0,0,0
150,5,lugar agradável brunch delicioso ótimo atendimento,,5,2,6,0,0,37,0,0,0,0,0,0,1
150,5,gostei comida ambiente agradável todas atendentes gentis recomendo,,4,0,1,0,0,11,0,0,0,0,0,0,1
150,5,amei,,2,1,0,0,0,6,0,0,0,0,0,0,1
150,5,null,,2,2,0,0,0,6,0,0,0,0,0,0,1
150,5,visitei sábado 10h00 fila espera nesse horário estacionei rua facilidade ambiente acolhedor atendentes simpáticas comida gostosa estávamoa 4 pessoas dividimos dois brunchs dois acompanhamentos gostei iogurte frutas pães bolo milho coco glúten certa cremosidade especial,,19,9,38,0,0,68,0,0,0,0,0,0,0
150,5,null,,1,5,0,0,0,7,0,0,0,0,0,0,1
150,5,excelente experiência atendimento letícia,,12,10,3,0,0,13,1,0,1,0,0,1,0
150,5,null,,2,2,0,0,0,9,0,0,0,0,0,0,1
150,5,null,,1,1,0,0,0,7,0,0,0,0,0,0,1
150,5,null,,0,1,0,0,0,6,0,0,0,0,0,0,1
150,5,null,,1,2,0,0,0,9,0,0,1,0,0,0,1
150,5,local bem fofo ótimo atendimento provei panquecas ovos mexidos tomei capuccino italiano iced final carrot cake,,75,24,205,1,1,994,2,0,0,0,12,2,0
150,5,fizemos café tarde mães tudo maravilhoso delicia tudo servido atendimento ótimo espaço aconchegante parabéns mães amaram,,1,0,0,0,0,3,0,0,0,0,0,0,1
150,1,duas amigas brunch agradável passamos nervoso após fila 40min colocaram mesa sequer sido limpa fizemos pedido brunch weekend demorou 1h40 servirem iogurte frutas mesa bebidas chegando pratos veio errado outro frio basicamente ovos mexidos pães demoraram 2hs chegar nada demais acho esperando galinha botar ovo pra justificar demora pra servir ovo mexido havia mesas crianças idosos todos reclamando brunch quase virou jantar condição nenhuma desse estabelecimento receber brunch weekend recomendo ninguém deseje comer bem bem atendido,,3,17,1,0,0,74,0,0,0,0,0,0,0
150,1,após 2 horas fila 30 minutos esperando limparem mesa 30 minutos gente esperando pedido havia sido confirmado duas vezes volta garçonete informando pedido sido efetivado funcionários totalmente despreparados mesas lado reclamando demora vir pedido além restaurante fazer questão desculpar após erro nota 0 tudo nesse lugar quiser passar nervoso vá,,40,72,65,0,0,110,0,0,0,0,0,5,0
150,5,primeiros final semana brunch weekend comi opção proposta café gostei tudo gostoso lotado local creio restaurante esperava sucesso,,3,1,3,0,0,7,0,0,0,0,0,0,1
150,1,quer ter brunch agradável escolha lugar restaurante participando brunch weekend mínima estrutura atender público festival entrada demorou 1 hora meia chegar mesa somente após reclamação após 2 horas espera prato principal chegou ovos frios pedido amiga veio errado fato imperdoável mesa lado família duas crianças pequenas após 2 horas espera embora conseguir comer nada após várias reclamações serviço tempo espera melhoraram fome espera péssimo atendimento aborreceram grupo amigas péssima experiência,,6,0,0,0,0,18,0,0,0,0,0,0,0
150,1,péssimo 2 horas pra sentar 1 hora pra atendido lugar condições atender evento brunch weekend comida normal nada demais demorar tanto falta organização gerenciamento volto estabelecimento,,8,1,0,0,0,13,0,0,0,0,0,0,0
180,5,sempre encomendo bolo niver filho sempre gostosos criativos,,2,0,0,0,0,12,0,0,0,0,0,0,1
180,5,pedi bolo igual harry potter aniversário namorada ficou perfeito gostoso,,5,10,2,0,0,18,0,0,0,0,0,0,0
180,5,coisas deliciosas cheesecake maravilhoso,,3,1,0,0,0,12,0,0,0,0,0,0,1
180,5,sempre ótimo atendimento pontualidade 4 anos filho fa opção,,11,4,0,0,0,15,0,0,0,0,0,0,0
180,5,produtos sempre qualidade cuidado enorme atendimento,,5,0,0,0,0,7,0,0,0,0,0,0,0
210,5,excelente cheese cake entrega rápida cuidadosa,,11,0,0,0,0,37,0,0,0,0,0,0,0
210,5,null,,1,4,0,0,0,41,0,0,0,0,0,0,1
210,4,comida boa estacionamento,,26,0,3,0,0,96,0,0,0,0,0,0,0
210,5,apaixonada mini cheesecakes sendo mini vc consegue provar sabor preço justo média r750 cada todos gostosos amantes café docinho vão adorar,,148,2,61,0,0,182,0,0,0,0,0,0,0
210,5,null,,20,28,10,0,0,8,2,0,1,0,0,0,0
210,5,gosto demais deste local tortinhas maravilhosas doces incríveis atendimento sempre prestativo vou escritório deixo passar almoço café,,1,0,0,0,0,7,0,0,0,0,0,0,1
210,5,pedi cesta brunch duas vezes maravilhosa qualidade incrível tudo extremamente gostoso atendimento bom,,7,2,3,0,0,3,0,0,0,0,0,0,1
240,5,salada tortinha deliciosa bolo coco vale calorias,,49,3,18,0,0,49,6,0,0,0,0,0,0
240,5,servico sempre atencioso tortas deliciosas,,3,0,0,0,0,13,0,0,0,0,0,0,1
240,5,null,,23,11,11,0,1,50,0,0,0,0,0,0,0
270,1,null,,57,56,9,0,0,415,2,0,0,0,0,2,0
270,5,excelente,,80,184,17,0,0,132,26,0,0,0,0,0,0
270,4,conheci restaurante através aplicativo sp dobro restaurante pequeno porém aconchegante todavia ar condicionado dia visitei restaurante aliviou calor porém sentei perto porta consegui ter pouco ventilação relação comida comi cheesecake achei pouco pequeno bem doce ruim realidade bom doce porém propaganda doces norteamericanos esperava gosto cheesecake senti ademais havia quantidade considerável calda diminuía ainda gosto cheesecake prato conheci bolo gelado gostoso cumpriu expectativas boa apresentação relação atendimento atendente bastante cordial porém mesma sozinha balcão apareciam muitos clientes senti mesma pouco sobrecarregada dia semana horário pouco movimentado acredito havia única pessoa atender contudo sinto havia necessidade ter pessoa atendendo evitar sobrecarga cima única pessoa,,46,11,25,0,0,641,0,0,0,0,5,0,0
270,5,melhor bolo chocolate,,1,1,0,0,0,4,0,0,1,0,0,0,0
270,5,null,,9,4,0,0,0,18,2,0,0,0,0,0,0
270,5,null,,2,2,0,0,0,10,2,0,0,0,0,0,0
270,5,null,,0,1,0,0,0,6,0,0,0,0,0,0,1
300,5,local filha frequentou gostou caso pedi cesta pra entregar casa tudo ótimo virei freguesa,,8,0,0,0,0,22,0,0,0,0,0,0,1
300,5,null,,7,7,0,0,0,28,0,0,0,0,0,0,1
300,5,null,,24,15,0,0,0,112,0,0,0,0,0,0,0
300,5,comida deliciosa atendimento gentil atencioso ambiente bonito acolhedor prefeito café amanhã chá tarde tudo gente quer vida relaxar,,47,4,16,0,0,1472,0,0,0,0,0,0,0
300,5,sempre peço bolos aniversário lá ótimos,,8,0,0,0,0,13,1,0,1,0,0,0,0
300,5,mandei lanche pessoa chegou lindo super bem embrulhado quiches quentinhas suco delicioso presente sucesso super recomendo,,7,1,0,0,0,10,0,0,0,0,0,0,1
330,5,atendimento whatsapp incrível precisei bolos pressas duas vezes sempre conseguiram ajudar além doces todos maravilhosos,,13,22,0,0,0,48,0,0,0,0,0,0,0
330,5,cheesecake frutas vermelhas simplesmente perfeita,,9,5,8,0,0,25,0,0,0,0,0,0,1
330,5,lugarzinho charmoso aconchegante ideal brunchdeliciosas tortas amei,,25,2,5,0,0,21,2,0,0,0,0,0,0
330,5,lugar maravilhoso,,14,60,0,0,0,130,0,0,1,0,1,0,0
330,5,null,,1,4,0,0,0,3,0,0,0,0,0,0,1
330,5,lugar maravilhoso famíliar gostei,,8,0,0,0,0,3,0,0,0,0,0,0,1
330,5,perfeito pra café manhã dois,,10,6,0,0,0,48,0,0,0,0,0,1,0
330,5,null,,23,294,4,0,0,297,0,0,0,0,0,0,0
330,5,excelente brunch,,15,2,12,0,1,91,0,0,0,0,0,0,0
365,5,great service tasty food good cocktails basic but clericot was very nice the apple pie with ice cream was amazing they didnt have milkshakes unfortunately since supposedly theyre awesome well parking spots,,271,12,1051,13,0,585,1,0,1,0,0,2,0
365,5,fiz encomenda paguei 50 outros 50 retirada agenda data horário cumpriram certinho avisam whatsapp qdo pronto enviam fotos enfim vale pena amamos atendimento principalmente bolo sabor pedimos carrot cake valeuuu pessoal chez mom,,2,0,2,0,0,3,0,0,0,0,0,0,1
365,2,custobenefício ficou aquém expectativas fiquei decepcionado local produtos servidos,,68,61,38,0,0,1241,1,0,0,0,0,0,0
365,5,amamos bolo atendimento super maravilhoso tudo perfeito,,2,0,1,0,0,0,0,0,0,0,0,0,1
365,5,fiz busca aleatória confeitaria vila madalena surpreendi atendentes prestativos atenderam prontamente pasmem dia outro pedido encomenda entrega intacta sendo terceiros bolos fresquinhos molhadinhos nada enjoativos,,5,1,0,0,0,6,0,0,0,0,0,0,0
