tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
4 meses atrás,5,"Comida, atendimento e ambiente sempre incriveis ja fui muitas vezes e sempre é impecavel",False,4,2,2,0,0,11,1,0,1,0,0,0,0
4 meses atrás,5,Sensacional! Retornarei em breve,True,7,3,0,0,0,20,0,0,0,0,0,0,1
4 meses atrás,5,null,True,1,30,0,0,0,73,0,0,0,0,0,0,0
4 meses atrás,5,"Ambiente charmoso com um cardápio elegante e saboroso. O couvert já chega com pães artesanais, de consistência tenra e uma leve acidez, com manteiga, creme, patê de fígado e um punhado de sal.  Carta de vinhos ampla, focada nos rótulos franceses, a partir de 250 Reais. Serviço atencioso. Pratos bem apresentados e execução primorosa.  O café fecha bem a experiência, acompanhado de Macarons para fazer sorrir.  Excelente!",True,672,1,6580,2158,0,1842,31,0,7,0,14,5,0
4 meses atrás,4,"Muito bom. Cumpre o papel que se propoe, um bom restaurante refinado e saboroso. Time muito bem treinado. Voltarei.",True,211,5,1,0,0,176,0,0,0,0,0,1,0
5 meses atrás,5,null,True,2,35,0,0,0,1185,0,0,0,0,0,1,0
5 meses atrás,5,null,False,0,2,0,0,0,3,0,0,0,0,0,0,1
5 meses atrás,5,null,False,0,3,0,0,0,3,0,0,0,0,0,0,1
5 meses atrás,5,Excellent place. One of the best French restaurants in São Paulo.,True,241,151,5648,2,1,241,4,0,5,0,10,2,0
5 meses atrás,5,Het beste en echt gezelligste (franse) restaurant van SP!,False,7,5,0,0,0,49,0,0,0,0,0,0,0
5 meses atrás,5,"O atendimento encanta! Principalmente pelo maitre, que é um senhor de extrema educação e zelo com os clientes. Você se sente muito bem no Chef Rouge, recebendo o cuidado da primorosa equipe. A comida é boa, nada que vá mudar sua vida. Grandes clássicos franceses saem corretos, mas sem encanto. Falta um pouco de alma e vida. Minha única crítica fica em relação ao batalhão de faria limers que frequentam o lugar, com seus papos chatos e ruidosos. Claro, o restaurante não tem culpa disso. Couvert com bom pão de fermentação natural, manteiga e pate de foie incríveis. Entradas de vieiras grelhadas e sopa de cebola estavam apenas boas. Pratos principais foram na linha das entradas - bons. Filet aux trois sauces e filet rossini. A sobremesa se destaca com o ótimo Eclair XXL (realmente é para dividir).  Minha dica: vá sem medo! mas leve um fone de ouvido talvez hahaha  1063 reais gastos em dois. Couvert, entradas, pratos principais e uma sobremesa. Agradeço pela gentileza dos macarons que o maitre nos fez.",False,6,1,1,0,0,7,0,0,0,0,0,0,1
5 meses atrás,1,"Passando mal com intoxicação alimentar após comer o polvo desse restaurante, no geral outros pratos sem tempero",False,1,0,0,0,0,6,0,0,0,0,0,0,1
6 meses atrás,5,null,False,0,3,0,0,0,7,0,0,0,0,0,0,1
6 meses atrás,5,null,False,1,2,0,0,0,0,0,0,1,0,0,0,1
6 meses atrás,5,"Ambiente agradável, e um menu digno de um Rei. Voltarei em breve.",False,9,0,1,0,0,14,0,0,0,0,0,0,1
6 meses atrás,5,null,False,3,1,0,0,0,5,0,0,0,0,0,0,1
6 meses atrás,5,"Minha experiência foi ótima, boa comida e excelente atendimento.",True,1,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,1,"Não possui acessibilidade. Portanto, caso não consiga subir 17 degraus de escada para ir ao banheiro, recomendo que não vá. Não atende pessoas cadeirantes e com dificuldade de locomoção. Uma lástima viver isso em 2024.",False,3,0,0,0,0,14,0,0,0,0,0,0,1
6 meses atrás,1,Orivel atendimento,False,1,3,1,0,0,11,0,0,0,0,0,0,1
6 meses atrás,5,null,False,4,1,1,0,0,16,0,0,0,0,0,0,1
6 meses atrás,5,Recomendo,True,1,7,0,0,0,51,0,0,0,0,1,0,0
6 meses atrás,5,null,False,1,1,0,0,0,0,0,0,0,0,0,0,1
6 meses atrás,5,null,False,1,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,False,0,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,False,2,2,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,True,12,5,13,1,0,57,0,0,0,0,0,0,0
6 meses atrás,1,null,True,0,1,0,0,0,0,0,0,0,0,0,0,1
6 meses atrás,5,"Muito bom, recomendo demais",False,4,1,0,0,0,6,0,0,0,0,0,0,1
6 meses atrás,5,null,True,1,3,0,0,0,56,0,0,0,0,0,0,1
6 meses atrás,5,null,True,78,18,128,1,0,393,2,0,0,0,41,3,0
6 meses atrás,5,null,True,11,5,0,0,0,10,0,0,0,0,0,0,1
6 meses atrás,5,Excelente,True,9,14,51,0,1,3,1,0,1,0,0,0,0
6 meses atrás,5,null,True,1,4,0,0,0,8,0,0,0,0,0,0,1
6 meses atrás,5,Ambiente bom é comida muita boa !,False,3,9,0,0,0,17,0,0,0,0,0,0,1
6 meses atrás,5,null,True,0,1,0,0,0,37,0,0,0,0,0,0,1
6 meses atrás,4,null,False,5,29,0,0,0,43,0,0,0,0,3,0,0
6 meses atrás,5,null,False,3,4,0,0,0,22,0,0,0,0,0,0,1
6 meses atrás,5,null,False,5,3,0,0,0,4,0,0,0,0,0,0,1
6 meses atrás,5,"Quero, com sinceridade, expressar minha gratidão, não somente pelo atendimento, mas pela experiência sublime que vivi ao lado da equipe. Cada momento foi como uma sinfonia de gentileza e cuidado, como um poema recitado com suavidade e harmonia.",True,7,0,1,0,0,4,1,0,0,0,0,0,1
6 meses atrás,5,null,True,1,1,0,0,0,6,0,0,0,0,0,0,1
6 meses atrás,5,Muito bom.,False,3,0,0,0,0,13,0,0,0,0,0,0,1
6 meses atrás,5,"Ótimo restaurante, um lugar agradável",True,11,10,1,0,0,257,0,0,0,0,0,0,0
6 meses atrás,5,null,False,5,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,False,1,3,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,Excelente,True,10,4,4,0,0,16,0,0,1,0,0,1,0
6 meses atrás,5,Ambiente incrível.,True,13,4,0,0,0,30,0,0,0,0,0,0,1
6 meses atrás,5,null,False,3,2,7,0,0,4,0,0,0,0,0,0,1
6 meses atrás,5,null,True,16,8,0,0,0,24,0,0,0,0,0,0,1
6 meses atrás,5,null,False,1,2,0,0,0,8,0,0,0,0,1,0,1
6 meses atrás,5,Lugar excelente e ótima comida.,True,20,15,44,4,0,186,3,0,0,0,6,0,0
6 meses atrás,5,"Restaurante excelente, ambiente agradável e refeições maravilhosas. Recomendo!",True,17,5,0,0,0,65,0,0,0,0,0,0,0
6 meses atrás,5,null,True,21,4,1,0,0,162,0,0,0,0,0,0,0
6 meses atrás,5,Excelente lugar Venham conhecer,False,15,8,0,0,0,154,0,0,0,0,0,0,0
6 meses atrás,5,null,True,58,43,110,2,0,71,0,0,1,0,1,4,0
6 meses atrás,5,Top,False,1,0,0,0,0,0,0,0,0,0,0,0,1
6 meses atrás,5,null,True,105,6,132,0,0,21,0,0,0,0,0,9,0
6 meses atrás,5,null,False,7,6,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,The environment and food are great!,False,4,0,0,0,0,12,0,0,0,0,1,0,1
6 meses atrás,1,Nunca fui. Uma empresa me contatou me oferecendo dinheiro para avaliar. Iam depositar R$ 10 pela avaliação. Nem nisso se pode confiar mais.,True,9,6,0,0,0,22,0,0,0,0,0,0,0
6 meses atrás,5,null,True,0,2,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,False,0,2,0,0,0,3,1,0,0,0,0,0,1
6 meses atrás,5,null,False,2,2,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,True,67,17,194,6,2,188,0,0,1,0,1,5,0
6 meses atrás,1,Maravilhosa.,False,11,1,2,0,0,10,1,0,0,0,0,0,0
6 meses atrás,5,null,False,4,1,0,0,0,6,0,0,0,0,0,0,1
6 meses atrás,5,null,False,0,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,True,24,7,1,0,0,20,0,0,0,0,34,0,0
6 meses atrás,5,null,False,5,2,5,0,0,10,0,0,1,0,0,0,1
6 meses atrás,5,null,False,6,46,2,0,0,0,0,0,0,0,0,0,0
6 meses atrás,5,null,False,22,3,2,0,0,11,1,0,0,0,0,0,0
6 meses atrás,5,null,True,16,9,6,2,0,85,0,0,0,0,0,1,0
6 meses atrás,5,null,True,11,8,0,0,0,144,0,0,0,0,0,1,0
6 meses atrás,5,null,True,0,1,0,0,0,0,0,0,0,0,0,0,1
6 meses atrás,5,Ambiente sofisticado e cardápio perfeito e bem montado!,True,128,9,41,0,0,39,2,0,0,0,1,4,0
6 meses atrás,1,N tem como acreditar nessas avaliações.... acabaram de falar comigo pelo WhatsApp querendo comprar 5 estrelas para esse restaurante.... tenho os prints da conversar.. Brasil sendo Brasil.. .,True,20,4,8,0,0,10,0,0,0,0,0,1,0
6 meses atrás,5,null,False,3,32,0,0,0,91,0,0,0,0,0,0,0
6 meses atrás,5,null,True,20,22,3,0,0,211,0,0,0,0,0,0,0
6 meses atrás,5,null,False,1,3,0,0,0,22,0,0,0,0,0,0,1
6 meses atrás,5,null,True,110,20,21,0,0,9,5,0,3,1,3,17,0
6 meses atrás,5,null,True,2,3,0,0,0,17,0,0,0,0,0,0,1
6 meses atrás,5,null,False,3,3,0,0,0,7,0,0,0,0,0,0,1
6 meses atrás,5,null,False,4,4,0,0,0,53,0,0,0,0,0,0,0
6 meses atrás,5,null,False,1,2,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,True,0,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,False,3,2,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,True,0,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,True,0,3,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,False,0,3,0,0,0,0,0,0,2,0,0,0,1
6 meses atrás,5,null,True,1,2,0,0,0,0,0,0,0,0,0,0,1
6 meses atrás,1,Achei lamentável não abrirem mais para almoço às terças e quartas.,True,3,1,0,0,0,0,0,0,0,0,0,0,1
6 meses atrás,5,null,False,1,3,0,0,0,3,2,0,0,0,0,0,1
6 meses atrás,5,Ótimo atendimento!!!,True,570,46,1480,163,0,5041,19,0,0,0,2,14,0
6 meses atrás,5,null,False,4,3,0,0,0,7,0,0,0,0,0,0,1
7 meses atrás,5,"Ambiente Maravilhoso, comida impecável 🥰",False,15,16,24,0,0,90,1,0,0,0,0,0,0
7 meses atrás,5,Sempre delicioso 😋,True,28,19,4,0,0,258,1,0,0,0,0,0,0
7 meses atrás,5,null,True,17,22,15,1,0,32,1,0,1,0,2,0,0
7 meses atrás,5,"Comi sashimi e estava muito salgado, será porque colocou muito sal no sashimi porque não estava fresco? Os biscoitos em forma de galho são muito salgados. Tem que andar de lado, tem muito barulho das mesas vizinhas.",True,34,1,44,6,1,68,0,0,1,0,0,0,0
7 meses atrás,3,"Muito chic e atendimento ótimo mas a comida bem abaixo do esperado, uma pena.",True,148,6,1,0,0,10,0,0,0,0,0,7,0
8 meses atrás,5,"Exquisite French fine dining experience, well heeled clientele. Multiple foie gras options. Great bread starter with multiple spreads and dipping sauce. If you are in the area and are considering French cusine,  this place won't dissapoint.",True,442,444,373,34,0,4475,4,0,1,0,0,2,0
8 meses atrás,5,null,False,1,9,0,0,0,8,0,0,0,0,0,0,1
8 meses atrás,5,Lugar agradável,False,14,0,0,0,0,21,0,0,0,0,0,0,1
8 meses atrás,5,Top,False,7,0,0,0,0,4,0,0,0,0,0,0,1
8 meses atrás,5,Muito top!,True,1,2,0,0,0,6,0,0,0,0,0,0,1
8 meses atrás,5,null,True,1,2,0,0,0,3,0,0,0,0,0,0,1
8 meses atrás,3,null,True,0,1,0,0,0,3,0,0,0,0,0,0,1
8 meses atrás,5,Restaurante  excelente  local agradável  e bem receptivo,True,38,29,4,0,0,341,0,0,0,0,0,1,0
8 meses atrás,5,null,True,2,23,0,0,0,21,0,0,0,0,0,0,1
8 meses atrás,5,null,False,1,2,0,0,0,0,0,0,0,0,0,0,1
8 meses atrás,5,null,False,0,2,0,0,0,3,0,0,0,0,0,0,1
8 meses atrás,5,null,False,2,2,6,0,0,22,0,0,0,0,0,1,1
8 meses atrás,5,null,True,2,2,1,0,0,5,0,0,1,0,0,0,1
8 meses atrás,5,null,False,1,5,0,0,0,2,0,0,0,0,0,0,1
8 meses atrás,5,Ótima super recomendo 😁,False,2,1,1,0,0,0,0,0,0,0,0,0,1
8 meses atrás,5,null,False,2,2,0,0,0,6,0,0,0,0,0,0,1
8 meses atrás,4,null,True,33,75,12,0,0,312,1,0,1,0,0,0,0
8 meses atrás,5,Excelente!,False,3,2,0,0,0,0,0,0,0,0,0,0,1
8 meses atrás,5,Excelente!,True,1,0,0,0,0,3,0,0,0,0,0,0,1
8 meses atrás,5,null,True,2,7,1,0,0,4,2,0,1,0,0,0,1
8 meses atrás,5,Muito bom mesmo.,True,66,7,0,0,0,15,6,0,0,0,0,13,0
8 meses atrás,5,null,True,13,19,3,0,0,14,1,0,0,0,0,0,0
8 meses atrás,5,Top,True,73,76,5,0,0,590,0,0,0,0,0,3,0
8 meses atrás,5,Excelente restaurante ótima comida e um atendimento top⭐,True,1,1,0,0,0,0,0,0,0,0,0,0,1
8 meses atrás,5,Otimo lugar,False,2,2,0,0,0,5,0,0,0,0,0,0,1
8 meses atrás,5,Simplesmente maravilhoso sempre!,False,15,2,29,0,0,24,0,0,0,0,0,0,0
9 meses atrás,5,"Amo!! Melhor batata frita da vida! Salada incrível, poivre perfeito e os macarrons do café, e se fala!",True,77,3,43,10,0,621,1,0,0,0,0,3,0
9 meses atrás,5,Um local excepcional para quem tem bom gosto e busca um atendimento qualificado e em especial uma boa variedade de pratos e carta de bebidas. Uma ótima experiência.  Voltarei.,True,121,9,218,9,1,1449,32,0,48,0,11,6,0
9 meses atrás,5,"Excelente comida, uma delícia. Serviço maravilhoso de atendimento. Recomendo",False,10,1,0,0,0,11,0,0,0,0,0,0,0
9 meses atrás,5,null,False,1,2,0,0,0,12,0,0,0,0,0,0,1
9 meses atrás,5,"Muito bom a experiência , gostei muito",False,8,1,7,0,0,199,0,0,0,0,0,0,1
9 meses atrás,4,"lindo restaurante, ótima música lounge e ambiente sofisticado. a seleção de vinhos é muito boa. o filé estava duro e difícil de cortar. a comida não era particularmente impressionante. Tive que cuspir algumas mordidas porque a carne estava muito dura. as batatas pareciam pré-preparadas e não frescas. as sobremesas foram a melhor parte. delicioso! Fiquei surpreso dada a atmosfera sofisticada e as boas críticas.",True,104,0,15,1,0,291,1,0,0,0,0,0,0
9 meses atrás,5,null,True,6,15,0,0,0,67,0,0,0,0,0,0,0
9 meses atrás,5,"Comida francesa maravilhosa, mas o drink pisco sour, muito bem elaborado pelo Vinicius, é simplesmente divino!!!",False,3,2,0,0,0,11,0,0,0,0,0,0,1
9 meses atrás,5,"Lugar maravilhoso, tudo perfeito, com certeza voltarei.",True,5,1,0,0,0,6,0,0,0,0,0,0,1
9 meses atrás,5,null,False,1,2,2,0,0,0,1,0,0,0,0,0,1
9 meses atrás,5,Ótimo ambiente muito aconchegante,False,9,1,0,0,0,3,0,0,0,0,0,0,1
9 meses atrás,5,null,False,1,4,0,0,0,3,0,0,0,0,0,0,1
10 meses atrás,5,null,True,51,26,11,0,0,704,0,0,0,0,0,0,0
10 meses atrás,5,null,True,2,21,3,0,0,219,0,0,0,0,0,0,0
10 meses atrás,3,De 0 a 10 - Couvert: 5.0 - Filé au Poivre: 6.5 - Sopa de cebola: 6.5 - Salada do dia: 5.0 - Creme brulè: 7.5 - Tarte Tatin: 5.0,True,30,41,145,4,1,1269,0,0,0,0,0,0,0
10 meses atrás,5,null,True,3,3,0,0,0,36,0,0,0,0,0,0,1
10 meses atrás,5,Muito boa. Comida boa e atendentes muito educados.,False,7,2,63,0,0,67,0,0,0,0,0,0,0
10 meses atrás,4,"Restaurante de culinária francesa com ambiente eclético, serviço impecável e culinária tradicional e mediterrânea (a carta de vinhos - assim como os preços do cardápio - é proibitiva). Destaque para a sopa de cebola caramelizada que é servida com o couvert.",True,603,33,4115,14,6,1331,21,0,2,0,1,294,0
11 meses atrás,5,"Lugar incrível, pratos saborosos e serviço impecável.",True,303,20,45,2,0,1439,1,0,0,0,3,3,0
11 meses atrás,5,null,True,15,19,0,0,0,42,0,0,0,0,0,0,0
11 meses atrás,5,null,True,1,13,0,0,0,161,0,0,0,0,0,0,1
11 meses atrás,5,null,True,41,6,76,0,0,308,0,0,0,0,3,0,0
11 meses atrás,5,null,False,2,1,0,0,0,8,0,0,0,0,0,0,1
11 meses atrás,5,"Simply great! Good welcome,  wonderful meals and a robust wine list",True,87,283,0,0,0,863,0,0,0,0,9,7,0
11 meses atrás,4,"Francês tradicional, mas com um valor elevado, não compativel com outros do mesmo estilo.",True,13,0,0,0,0,28,0,0,0,0,0,0,1
11 meses atrás,5,"Que grata surpresa, ambiente aconchegante, sofisticado, ótimas carnes, ótimos chás! Vale a visita! Excelente francês",True,223,11,24,14,0,5298,1,0,0,0,0,3,0
