tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
9 meses atrás,5,null,True,25,261,14,2,1,198,0,0,0,0,0,5,0
9 meses atrás,5,null,True,5,115,81,0,0,437,0,0,0,0,7,0,0
9 meses atrás,5,Boteco bom e acessível! Ainda tem um forno a lenha com pizza fresca pra pedir enquanto desfruta de uma cerveja gelada. Nada melhor,True,192,37,477,7,1,902,0,0,0,0,0,1,0
10 meses atrás,5,null,True,6,77,22,0,0,124,6,0,0,0,0,0,0
10 meses atrás,5,Local simples mais impressiona na gastronomia A pizza é surreal bem leve a massa crocante e produtos do recheio de primeiríssima qualidade... Resultado Divino .,False,13,0,52,7,0,6,0,0,0,0,0,0,0
10 meses atrás,4,null,True,160,158,162,0,0,4449,0,0,0,0,1,17,0
10 meses atrás,5,Tudo top eu recomendo,True,33,4,6,0,0,219,0,0,0,0,0,0,0
10 meses atrás,5,Melhor pizza de SP!,False,4,5,0,0,0,17,0,0,0,0,0,0,0
11 meses atrás,5,"Melhor pizza que eu já comi!! Ambiente muito bom, cerveja mega gelada!!",True,25,30,0,0,0,35,0,0,0,0,0,0,0
11 meses atrás,3,null,True,75,289,136,7,0,191,0,0,0,0,11,2,0
11 meses atrás,5,"Muito bom! Cerveja gelada, pizza quente! Garçons muito gente fina!",True,35,4,0,0,0,103,1,0,0,0,0,0,0
11 meses atrás,5,"Um achado em são Paulo, sempre elogiei a pizza paulista e essa faz jus a fama das pizzarias de são Paulo.",False,9,12,1,0,0,25,0,0,0,0,0,0,0
11 meses atrás,5,null,True,12,128,4,1,0,1271,0,0,0,0,1,2,0
11 meses atrás,5,null,True,0,15,0,0,0,54,0,0,1,0,0,0,0
11 meses atrás,5,Amei. A pizza é super gostosa. Ótimo atendimento,True,129,5,13,0,0,1061,0,0,0,0,1,0,0
um ano atrás,4,null,True,63,156,332,13,4,2945,12,0,1,0,16,7,0
um ano atrás,5,"Lugar muito bom! Um achado no centro de SP! Valores muito bons e qualidade da comida (experimentem a pizza!), das bebidas sensacionais! Isso sem contar no atendimento que é excepcional",True,217,156,977,21,2,1616,5,0,2,0,1,32,0
um ano atrás,5,Bem atendido e simpatia...,True,18,14,7,1,0,127,0,0,0,0,0,2,0
um ano atrás,5,Amo demais! Gugu melhor pessoa!! 👏🏻👏🏻💙,True,42,6,30,0,0,48,2,0,0,0,0,1,0
um ano atrás,1,"Perderam um cliente por causa de um mísero refrigerante de 1l. Pedi pizza da promoção que vinha com um refrigerante. O motoboy chegou e disse que não recebeu o refrigerante. Liguei no restaurante e me disseram que entregaram sim. Não sei quem levou, mas o atendente do restaurante ficou me oerguhtando como a gebte ia resolver e que não tinha o que ele fazer. Sempre pedi pizza lá e era bastante fiel, mas sr pra eles compensa perder cliente por uma coisa tão pequena e.prefwrem não me ajudar com um problema de responsabilidade deles, eu tô fora.",True,9,0,3,0,0,10,0,0,0,0,0,0,0
um ano atrás,5,null,True,8,7,0,0,0,3,0,0,0,0,0,0,1
um ano atrás,5,Pizzas variadas e fartas. Cervejas geladas e uma esquina tranquila para bater papo.,True,3,0,0,0,0,6,0,0,0,0,0,0,1
um ano atrás,5,null,True,15,88,735,7,0,267,0,0,0,0,0,2,0
um ano atrás,4,Lugar simples mas de boa comida.,True,185,81,21,0,0,37,18,0,1,0,1,13,0
um ano atrás,5,null,True,5,24,0,0,0,42,0,0,0,0,0,0,0
um ano atrás,5,null,True,6,15,0,0,0,21,0,0,0,0,0,0,0
um ano atrás,5,null,True,17,75,5,0,0,130,0,0,0,0,0,0,0
um ano atrás,5,null,True,49,55,26,1,0,317,1,0,0,0,19,1,0
um ano atrás,5,"Pizza bem gostosa. Recomendo a nossa favorita que é Champignon e Calabresa com queijo, delícia. Ah, e a cerveja estupidamente gelada.",False,10,2,5,4,0,33,0,0,0,0,0,0,0
um ano atrás,5,"Pra quem gosta de um bar simples e com cerveja gelada, aqui é o melhor! Eles também servem pizza, que é uma delícia e dá pra pedir aperitivo na mesa. A pizza de shimeji com mussarela pra mim é a melhor de todas. Fica perto, mas um pouco fora do fluxo da rua augusta, o que tbm dá um pouco de paz na hora de beber com amigos.",True,20,2,4,1,0,463,0,0,1,0,5,0,0
um ano atrás,5,"Um achado, uma pizza excelente com ótimo custo benefício, atendimento muito gentil da equipe. Recomendo muito.",True,224,0,238,22,0,406,5,0,1,0,1,1,0
um ano atrás,5,null,False,4,9,0,0,0,18,1,0,0,0,0,0,0
um ano atrás,4,null,True,1,93,8,0,0,47,0,0,0,0,4,0,0
um ano atrás,5,Melhor pizza que comi na vida!,True,71,17,202,9,0,125,0,0,0,0,0,4,0
um ano atrás,5,null,False,3,11,0,0,0,27,0,0,0,0,0,0,0
um ano atrás,5,null,False,0,2,0,0,0,3,0,0,0,0,0,0,1
um ano atrás,5,null,True,12,56,3,0,0,431,0,0,0,0,0,0,0
um ano atrás,5,"Pizza EXCELENTE, maravilhosa e a",True,53,31,203,3,1,341,0,0,0,0,0,2,0
um ano atrás,5,null,True,48,101,10,0,0,212,1,0,0,0,0,8,0
um ano atrás,5,"Um ótimo lugar, boa comida por um preço justo.",True,36,7,0,0,0,46,1,0,0,0,0,0,0
um ano atrás,5,null,True,4,52,0,0,0,2,0,0,0,0,0,0,1
um ano atrás,5,"Ótima pizza de massa fina. Pedimos meia shitake e meia alho poró, ambas muito boas.",True,9,19,7,0,0,519,17,0,0,0,74,0,0
um ano atrás,4,null,True,6,5,0,0,0,86,0,0,0,0,0,0,0
