tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
60,1,acabei passar drive pedir 2 big mac mandaram sempre vem faltado coisa primeira vez vem faltando molho etc tô carro confiro dessa vez tava moto lasquei serviço ruim driver outro mc lado melhor driver reclamação drive melhorar,,4,4,5,0,0,6,4,0,3,0,0,0,0
60,3,null,,38,43,192,2,0,49,0,0,0,0,1,7,0
60,5,ótimo ambiente,,17,11,0,0,0,327,0,0,0,0,0,1,0
60,4,null,,31,45,25,2,2,29,0,0,0,0,1,0,0
60,5,null,,27,18,5,0,0,58,0,0,0,0,0,0,0
60,5,null,,8,157,16,0,0,2180,1,0,1,0,0,13,0
60,4,null,,53,449,629,43,0,1075,0,0,0,0,0,9,0
60,5,rápido gostoso,,14,13,2,0,0,135,0,0,0,0,0,0,0
60,4,pedi esperei estacionamento entrega somente 2 pontos melhoria poucas vagas modalidade pedido 4 vagas parei numeração demorei entender designada tipo pedido app outro ponto app apresentou erro resgatar pontos pagar restante reais fazer 2 pedidos app ainda pedi errado rs,,35,9,17,0,0,71,5,0,4,0,7,9,0
60,1,péssimo lanche,,61,10,10,0,0,70,1,0,0,0,0,1,0
90,5,loja limpa organizada funcionários amáveis,,2,0,0,0,0,7,0,0,0,0,0,0,1
90,4,chão tanto pegajoso resto ok,,1,0,0,0,0,10,0,0,0,0,0,0,1
90,3,is classic mcdonalds i went through the drive true,,137,14,680,12,1,3265,2,0,5,0,7,0,0
90,4,cheio hora almoço,,116,43,208,3,0,496,0,0,0,0,0,0,0
90,5,adorei banheiros limpos atendimento ok lugar tranquilo,,107,8,3,0,1,117,0,0,0,0,11,2,0
90,5,maravilhoso ambiente tranquilo problema sao vende bala fica incomodando hora comendo,,10,8,1,0,0,39,0,0,0,0,0,0,0
90,5,null,,12,133,30,2,0,120,0,0,0,0,0,0,0
90,1,dão conta movimento domingos,,14,6,5,0,0,9,2,0,0,0,1,0,0
90,5,null,,3,36,1,0,0,41,0,0,0,0,0,0,0
90,5,null,,21,42,2,0,0,269,0,0,0,0,1,0,0
90,5,null,,19,15,2,0,0,212,0,0,0,0,0,0,0
90,5,null,,40,44,1,0,0,233,0,0,0,0,0,0,0
90,5,null,,3,22,0,0,0,25,0,0,0,0,0,1,1
