tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
2190,5,ótimo,,94,34,23,1,0,267,0,0,0,0,0,1,0
90,3,null,,1,1,0,0,0,8,1,0,0,0,0,0,1
90,1,null,,23,65,29,0,0,13,5,0,2,0,0,2,0
240,5,null,,22,29,1,0,0,255,0,0,0,0,0,1,0
365,5,null,,141,298,16,11,1,12,1,0,8,0,0,3,0
1825,4,null,,6,35,0,0,0,382,0,0,0,0,1,0,0
1825,5,null,,4,7,8,0,0,0,0,0,0,0,0,1,1
